code	display_name	date	weight	sw1_code	sw1_name
002906.XSHE	华阳集团	2020-08-14	0.037	801880	汽车I
002907.XSHE	华森制药	2020-08-14	0.021	801150	医药生物I
002911.XSHE	佛燃能源	2020-08-14	0.019	801160	公用事业I
002912.XSHE	中新赛克	2020-08-14	0.134	801750	计算机I
002913.XSHE	奥士康	2020-08-14	0.048	801080	电子I
002918.XSHE	蒙娜丽莎	2020-08-14	0.124	801710	建筑材料I
002928.XSHE	华夏航空	2020-08-14	0.101	801170	交通运输I
002929.XSHE	润建股份	2020-08-14	0.049	801770	通信I
002930.XSHE	宏川智慧	2020-08-14	0.09	801170	交通运输I
002933.XSHE	新兴装备	2020-08-14	0.035	801740	国防军工I
002947.XSHE	恒铭达	2020-08-14	0.06	801080	电子I
002950.XSHE	奥美医疗	2020-08-14	0.107	801150	医药生物I
002951.XSHE	金时科技	2020-08-14	0.014	801140	轻工制造I
002955.XSHE	鸿合科技	2020-08-14	0.039	801080	电子I
002959.XSHE	小熊电器	2020-08-14	0.133	801110	家用电器I
002960.XSHE	青鸟消防	2020-08-14	0.058	801890	机械设备I
002961.XSHE	瑞达期货	2020-08-14	0.028	801790	非银金融I
002962.XSHE	五方光电	2020-08-14	0.033	801080	电子I
002967.XSHE	广电计量	2020-08-14	0.082	801230	综合I
002969.XSHE	嘉美包装	2020-08-14	0.017	801140	轻工制造I
002970.XSHE	锐明技术	2020-08-14	0.063	801080	电子I
002973.XSHE	侨银环保	2020-08-14	0.022	801160	公用事业I
300006.XSHE	莱美药业	2020-08-14	0.068	801150	医药生物I
300007.XSHE	汉威科技	2020-08-14	0.072	801890	机械设备I
300011.XSHE	鼎汉技术	2020-08-14	0.042	801730	电气设备I
300016.XSHE	北陆药业	2020-08-14	0.09	801150	医药生物I
300020.XSHE	银江股份	2020-08-14	0.096	801750	计算机I
300021.XSHE	大禹节水	2020-08-14	0.044	801010	农林牧渔I
300031.XSHE	宝通科技	2020-08-14	0.151	801760	传媒I
